Type,Options,Default,Description
geometry,refArea,1,The reference area of the geometry
,momentCenter,"[0.0, 0.0, 0.0]","The x, y, z moment center of the geometry in grid units"
,momentLength,"[1.0, 1.0, 1.0]","The x, y, z moment reference lengths"
runControl,restart,FALSE,the solutions are initialized from restarting files or not
,startAlphaControlPseudoStep,-1,pseudo step at which to start targetCL control. -1 is no trim control. (steady only)
,targetCL,-1,The desired trim CL to achieve (assocated with startAlphaControlPseudoStep)
freestream,Reynolds,Not required if muRef exists,"Nondimensional Reynolds number.  Reynolds number should be computed based on the reference length in grid units.  For example, if you have a mesh with a MAC of 100 in grid units and want to simulate a physical Reynolds number of 1M, then you should set Reynolds = 100,000."
,muRef,Not required if Reynolds exists,refererence mu(non-dimenstional) in our solver
,Mach,REQUIRED,"The Mach number, the ratio of freestream speed to the speed of sound."
,MachRef,Required if Mach == 0,"The reference Mach number to compute the mu, CL/CD, coefficients, etc..."
,Temperature,REQUIRED,The reference temperature in Kelvin.
,alphaAngle,REQUIRED,The angle of attack in degrees
,betaAngle,REQUIRED,The side slip angle in degrees
boundaries,YOUR_FIRST_BOUNDARY_ID: type,YOUR_BOUNDARY_TYPE,"List of boundary conditions. The current supported boundaries are: SlipWall (used for symmetry), NoSlipWall, Freestream, SubsonicOutflowPressure, SubsonicOutflowMach,  SubsonicInflow,SubsonicOutflowPressure, MassOutflow, MassInflow"
,YOUR_SECOND_BOUNDARY_ID: type,YOUR_BOUNDARY_TYPE,
volumeOutput,outputFormat,paraview,"""paraview"" or ""tecplot"""
,animationFrequency,-1,Frequency at which volume output is saved. -1 is at end of simulation
,startAverageIntegrationStep,0,Sub-iteration or time-step to start averaging forces/moments
,computeTimeAverages,FALSE,Whether or not to compute time-averaged quantities
,primitiveVars,TRUE,"Outputs rho, u, v, w, p"
,vorticity,FALSE,Vorticity
,residualNavierStokes,FALSE,5 components of the N-S residual
,residualTurbulence,FALSE,nuHat
,T,FALSE,Temperature
,s,FALSE,Entropy
,Cp,TRUE,Coefficient of pressure
,mut,TRUE,Turbulent viscosity
,nuHat,TRUE,nuHat
,mutRatio,FALSE,mut/mu_inf
,Mach,TRUE,Mach number
,VelocityRelative,FALSE,velocity in rotating frame
,qcriterion,FALSE,Q criterion 
,gradW,FALSE,Gradient of W
surfaceOutput,outputFormat,paraview,"""paraview"" or ""tecplot"""
,animationFrequency,-1,Frequency at which surface output is saved. -1 is at end of simulation
,primitiveVars,FALSE,"rho, u, v, w, p"
,Cp,FALSE,Coefficient of pressure
,Cf,FALSE,Skin friction coefficient
,CfVec,FALSE,Viscous stress coefficient vector
,yPlus,FALSE,y+
,wallDistance,FALSE,Wall Distance
,Mach,FALSE,Mach number
,nodeForcesPerUnitArea,FALSE,node forces per unit area
,residualSA,FALSE,Spalart-Allmaras residual magnitude
