Codes@  Turb Mdl@ :math:`\alpha (deg)`@       :math:`C_l`@  :math:`C_d`@   :math:`C_{d,v}`@ :math:`C_{d,p}` 

CFL3D@        SA@                    0@        -0.685E-05@      0.00819@                  @  
FUN3D@        SA@                    0@  :math:`\simeq 0`@      0.00812@                  @  
NTS@          SA@                    0@  :math:`\simeq 0`@      0.00813@                  @  
JOE@          SA@                    0@  :math:`\simeq 0`@      0.00812@                  @  
SUMB@         SA@                    0@  :math:`\simeq 0`@      0.00813@                  @  
TURNS@        SA@                    0@  :math:`\simeq 0`@      0.00830@                  @  
GGNS@         SA@                    0@  :math:`\simeq 0`@      0.00817@                  @  
OVERFLOW@     SA@                    0@  :math:`\simeq 0`@      0.00838@                  @  
FLOW360@      SA@                    0@        -8.648E-07@      0.00808@          0.006811@     0.001267

CFL3D@     SA-RC@                    0@        -0.717E-05@      0.00793@                  @           
FUN3D@     SA-RC@                    0@  :math:`\simeq 0`@      0.00790@                  @           
NTS@       SA-RC@                    0@  :math:`\simeq 0`@      0.00792@                  @           
FLOW360@   SA-RC@                    0@        -7.960E-07@      0.00787@          0.006611@ 0.001256    

CFL3D@        SA@                   10@            1.0909@      0.01231@                  @             
FUN3D@        SA@                   10@            1.0983@      0.01242@                  @             
NTS@          SA@                   10@            1.0891@      0.01243@                  @             
JOE@          SA@                   10@            1.0918@      0.01245@                  @             
SUMB@         SA@                   10@            1.0904@      0.01233@                  @             
TURNS@        SA@                   10@            1.1000@      0.01230@                  @             
GGNS@         SA@                   10@            1.0941@      0.01225@                  @             
OVERFLOW@     SA@                   10@            1.0990@      0.01251@                  @             
FLOW360@      SA@                   10@            1.0889@      0.01244@          0.006148@ 0.006292    

CFL3D@     SA-RC@                   10@            1.0947@      0.01179@                  @             
FUN3D@     SA-RC@                   10@            1.1020@      0.01191@                  @             
NTS@       SA-RC@                   10@            1.0933@      0.01193@                  @             
FLOW360@   SA-RC@                   10@            1.0917@      0.01193@          0.005851@ 0.006079    

CFL3D@        SA@                   15@            1.5461@      0.02124@                  @             
FUN3D@        SA@                   15@            1.5547@      0.02159@                  @             
NTS@          SA@                   15@            1.5461@      0.02105@                  @             
JOE@          SA@                   15@            1.5490@      0.02148@                  @             
SUMB@         SA@                   15@            1.5446@      0.02141@                  @             
TURNS@        SA@                   15@            1.5642@      0.02140@                  @             
GGNS@         SA@                   15@            1.5576@      0.02073@                  @             
OVERFLOW@     SA@                   15@            1.5576@      0.02149@                  @             
FLOW360@      SA@                   15@            1.5381@      0.02158@          0.005112@ 0.016473    

CFL3D@     SA-RC@                   15@            1.5560@      0.02066@                  @             
FUN3D@     SA-RC@                   15@            1.5651@      0.02099@                  @             
NTS@       SA-RC@                   15@            1.5562@      0.02043@                  @             
FLOW360@   SA-RC@                   15@            1.5467@      0.02100@          0.004707@ 0.016288    
