Codes@  Turb Mdl@ :math:`\alpha (deg)`@       :math:`C_l`@  :math:`C_d`@   :math:`C_{d,v}`@ :math:`C_{d,p}` 

CFL3D@        SA@                   10@            1.0909@      0.01231@                  @             
FUN3D@        SA@                   10@            1.0983@      0.01242@                  @             
NTS@          SA@                   10@            1.0891@      0.01243@                  @             
JOE@          SA@                   10@            1.0918@      0.01245@                  @             
SUMB@         SA@                   10@            1.0904@      0.01233@                  @             
TURNS@        SA@                   10@            1.1000@      0.01230@                  @             
GGNS@         SA@                   10@            1.0941@      0.01225@                  @             
OVERFLOW@     SA@                   10@            1.0990@      0.01251@                  @             
FLOW360@      SA@                   10@            1.0889@      0.01244@          0.006148@ 0.006292    

CFL3D@     SA-RC@                   10@            1.0947@      0.01179@                  @             
FUN3D@     SA-RC@                   10@            1.1020@      0.01191@                  @             
NTS@       SA-RC@                   10@            1.0933@      0.01193@                  @             
FLOW360@   SA-RC@                   10@            1.0917@      0.01193@          0.005851@ 0.006079   

CFL3D(TMNA, noPV)@  SA@             10@            1.0896@      0.01240@          0.006203@ 0.006200 
FUN3D(TMNA, noPV)@  SA@             10@            1.0910@      0.01239@          0.006206@ 0.006179
TAU(TMNA, noPV)@    SA@             10@            1.0905@      0.01233@          0.006216@ 0.006117
