Codes@  Turb Mdl@ :math:`\alpha (deg)`@       :math:`C_l`@  :math:`C_d`@   :math:`C_{d,v}`@ :math:`C_{d,p}` 

CFL3D@        SA@                   15@            1.5461@      0.02124@                  @             
FUN3D@        SA@                   15@            1.5547@      0.02159@                  @             
NTS@          SA@                   15@            1.5461@      0.02105@                  @             
JOE@          SA@                   15@            1.5490@      0.02148@                  @             
SUMB@         SA@                   15@            1.5446@      0.02141@                  @             
TURNS@        SA@                   15@            1.5642@      0.02140@                  @             
GGNS@         SA@                   15@            1.5576@      0.02073@                  @             
OVERFLOW@     SA@                   15@            1.5576@      0.02149@                  @             
FLOW360@      SA@                   15@            1.5381@      0.02158@          0.005112@ 0.016473    

CFL3D@     SA-RC@                   15@            1.5560@      0.02066@                  @             
FUN3D@     SA-RC@                   15@            1.5651@      0.02099@                  @             
NTS@       SA-RC@                   15@            1.5562@      0.02043@                  @             
FLOW360@   SA-RC@                   15@            1.5467@      0.02100@          0.004707@ 0.016288    
